mission_id,lat,lon,start,goal,cheb_dist,opt_reachable,opt_energy,opt_steps,mars_rover_ppo_best_success,mars_rover_ppo_best_fail_mode,mars_rover_ppo_best_steps,mars_rover_ppo_best_energy_used,mars_rover_ppo_best_energy_left,mars_rover_ppo_best_hazard_hits,mars_rover_ppo_best_efficiency_pct,mars_rover_ppo_best_extra_steps,mars_rover_ppo_old_success,mars_rover_ppo_old_fail_mode,mars_rover_ppo_old_steps,mars_rover_ppo_old_energy_used,mars_rover_ppo_old_energy_left,mars_rover_ppo_old_hazard_hits,mars_rover_ppo_old_efficiency_pct,mars_rover_ppo_old_extra_steps
1,32.875,-22.004,"[4, 1]","[10, 19]",18,True,37.9,20,True,,18,42.63,57.37,0,88.9,-2,True,,18,44.77,55.23,0,84.7,-2
2,31.337,102.983,"[1, 11]","[17, 1]",16,True,43.11,16,True,,16,44.94,55.06,0,95.9,0,True,,16,44.18,55.82,0,97.6,0
3,39.316,47.399,"[1, 9]","[15, 3]",14,True,29.49,18,True,,15,32.56,67.44,0,90.6,-3,True,,14,35.11,64.89,0,84.0,-4
4,-44.409,-8.746,"[18, 8]","[3, 16]",15,True,34.38,15,True,,15,35.21,64.79,0,97.6,0,True,,15,40.18,59.82,0,85.6,0
5,24.032,-67.548,"[17, 11]","[1, 15]",16,True,28.07,16,True,,16,29.73,70.27,0,94.4,0,True,,16,35.94,64.06,0,78.1,0
6,16.166,19.289,"[1, 11]","[15, 6]",14,True,20.66,15,True,,15,21.49,78.51,0,96.1,0,True,,15,24.8,75.2,0,83.3,0
7,-56.302,-22.782,"[19, 4]","[5, 8]",14,True,37.73,14,True,,21,64.43,35.57,6,58.6,7,True,,14,45.25,54.75,3,83.4,0
8,42.408,-95.782,"[6, 2]","[6, 19]",17,True,35.07,17,True,,17,40.28,59.72,0,87.1,0,True,,17,43.36,56.64,0,80.9,0
9,49.03,71.895,"[9, 5]","[15, 19]",14,True,33.38,14,True,,15,43.7,56.3,0,76.4,1,True,,14,40.77,59.23,0,81.9,0
10,33.45,78.08,"[1, 1]","[8, 18]",17,True,48.87,18,True,,17,55.28,44.72,0,88.4,-1,True,,17,64.4,35.6,0,75.9,-1
11,-5.307,-107.149,"[10, 3]","[9, 17]",14,True,16.66,14,True,,14,16.66,83.34,0,100.0,0,True,,14,19.97,80.03,0,83.4,0
12,31.022,79.007,"[15, 3]","[5, 18]",15,True,27.31,19,True,,19,22.31,77.69,0,100.0,0,True,,16,34.87,65.13,2,78.3,-3
13,9.727,-55.127,"[9, 15]","[1, 1]",14,True,35.07,18,True,,14,49.11,50.89,0,71.4,-4,True,,15,45.43,54.57,0,77.2,-3
14,-1.601,-3.345,"[6, 2]","[12, 18]",16,True,39.8,16,True,,16,48.94,51.06,6,81.3,0,True,,16,46.43,53.57,2,85.7,0
15,-32.374,-166.531,"[19, 6]","[4, 19]",15,True,56.33,15,True,,20,61.11,38.89,0,92.2,5,True,,15,56.74,43.26,0,99.3,0
16,-25.09,5.421,"[5, 8]","[19, 19]",14,True,34.28,14,True,,18,42.63,57.37,1,80.4,4,True,,14,39.77,60.23,2,86.2,0
17,47.001,89.499,"[0, 18]","[18, 4]",18,True,60.67,19,True,,29,67.11,32.89,0,90.4,10,True,,20,65.98,34.02,0,91.9,1
18,-45.269,119.201,"[18, 0]","[3, 4]",15,True,29.49,15,True,,15,30.97,69.03,0,95.2,0,True,,15,37.77,62.23,0,78.1,0
19,-44.181,63.957,"[19, 2]","[5, 10]",14,True,43.11,15,True,,45,87.54,12.46,0,49.2,30,True,,14,46.6,53.4,0,92.5,-1
20,23.311,29.202,"[19, 6]","[2, 9]",17,True,22.49,17,True,,17,22.9,77.1,0,98.2,0,True,,17,28.46,71.54,0,79.0,0
21,19.544,164.024,"[2, 12]","[16, 2]",14,True,35.9,20,True,,19,36.73,63.27,0,97.7,-1,True,,15,41.36,58.64,0,86.8,-5
22,-43.159,-29.119,"[2, 7]","[18, 8]",16,True,38.8,18,True,,16,41.41,58.59,0,93.7,-2,True,,18,55.91,44.09,0,69.4,0
23,18.232,132.297,"[5, 4]","[19, 14]",14,True,22.38,14,True,,14,23.38,76.62,0,95.7,0,True,,14,22.38,77.62,0,100.0,0
24,37.988,-142.1,"[7, 2]","[3, 16]",14,True,16.66,14,True,,14,17.66,82.34,0,94.3,0,True,,14,19.14,80.86,0,87.0,0
